wallet,points,%
zXc2XPxGCLyGHrcc8mndr2PDh8BFhrNTm4tungB3qc2,180729.20364339062,1.5445633544118116
5q5mzwnHZaWJVCiCijhZbUzzvUMzzgBq5XLAXN77CZL3,27834.43619426905,0.23788103565825666
7XjjXcdGgw64sGPLfQht8g8i1Lr2JPEjPjvW38SU5uLn,2483.2111397116137,0.021222231107894406
2cyucEg6usb35Y5Mru3HmttESgjZ8yUPn2CwHSxRU5tM,113884.5399795879,0.9732897812884885
96q9TMMc1YzDPr32PWqtuzJ3k92C5MkbvELSAwq93qKX,39099.965368565325,0.33415946316136774
C96bsbSbumNtZnazH9vUbrV7YfCjyfqEBpqVwA8AvTwF,3884.7124610491023,0.03319986138821675
HtSZHu9GgohiYf43peG2zZ1McJPirak38Z5iHy47roGV,44234.187100839124,0.37803798739114486
BN2vN85Q4HiWJL6JejX2ke82fKY7nxnFUBjAWFMC8Wcb,31053.785153185614,0.26539451066265
2Fnz4vkm4DNGQ3Dxqqop9HGVfuPUWct4Xd87vAqr1geu,2471.2657479895765,0.021120142381025678
7dvJ3BrwzYXyTmnDwSV4oaj3ieLcZaSMfiYkkJ6HAQ3M,26225.984367729885,0.22413474729685168
9UKZNJ4fyhE63R2HJYaxE5yDixD9bxm3NPyd8Rnvn3aA,12155.308212718275,0.10388273310820945
9sLyg9dWEzPbrxYgGvioABDzEZSV8jhuuwQ55a1a943a,19256.250991545407,0.1645694167035901
GXtKG5Y5b4Z9VL3YiwX66DGbuyztxkf7RZcgCpHeTLxx,3238.088709288715,0.027673630259394417
9FM5YS5QuxDADEXU3YSc8bsbjLsEeua1dngu7EYy5p55,1359.747895733872,0.011620793588695246
9mmQi2Ds6QRPDPdVqVsqgr57A94mp62dXKcJ24y4ZJ9S,18179.824584921353,0.15536996942071868
Btur2WWx3PQVuswiUYtqSNRfkmBVaTc5adgLvh7XvgZR,4551.158131649072,0.03889549629261346
78n1P5pBY5mBXd5Uy7smRDtBYbexuZdi5UujxdQFncn,3018.789424203189,0.025799435981085264
2gYjoKZiqpo1LJcXFsTCgWVsHF6SoACZXA8zDBP6NwnE,97171.61194073687,0.8304563284024418
